concept_id,concepticon_id,label,pos,semantic_field,definition,status,replacement_id,notes
ani-pasture,649,pasture,n,Animals,Land covered with grass or herbage and grazed by or suitable for grazing by livestock.,active,,
ani-paw,2965,paw,n,Animals,"A paw is the soft foot of a mammal, generally a quadruped, that has claws.",active,,
ani-peacock,3382,peacock,n,Animals,"A male peafowl, a species of the family Phasianidae, which is known for displaying its massive tail as part of mate-selection ritual.",active,,
ani-peccary,2390,peccary,n,Animals,"The collared peccary (Pecari tajacu) is a species of mammal in the family Tayassuidae found in North, Central, and South America.",active,,
ani-peck,3684,peck,v,Animals,"(Of a bird) to move the beak forward quickly to strike, bite, or pick up something.",active,,
ani-pelican,472,pelican,n,Animals,Large water birds comprising the family Pelecanidae. They are characterised by a long beak and large throat pouch used for catching prey and draining water from the scooped up contents before swallowing.,active,,
ani-penguin,2831,penguin,n,Animals,"Aquatic, flightless birds.",active,,
ani-perch-fish,2966,perch,n,Animals,"Perch is a common name for fish of the genus Perca, freshwater gamefish belonging to the family Percidae.",active,,
ani-perch-of-bird,3682,perch,v,Animals,"To land and rest on a perch, branch, fence, etc.",active,,
ani-pet,3780,pet,n,Animals,An animal or a bird that is kept at home for companionship rather than for practical use.,active,,
ani-pheasant,3060,pheasant,n,Animals,Bird of the family Phasianidae.,active,,
ani-pig,1337,pig,n,Animals,"A common, four-legged animal (Sus scrofa) that has cloven hooves, bristles and a nose adapted for digging and is farmed by humans for its meat.",active,,
ani-pig-dung,3379,pig dung,n,Animals,The faeces of a pig.,active,,
ani-piglet,2564,piglet,n,Animals,A young pig.,active,,
ani-pigsty,3369,pigsty,n,Animals,A barn for pigs.,active,,
ani-pike,2967,pike,n,Animals,The northern pike is a species of carnivorous fish of the genus Esox (the pikes).,active,,
ani-piranha,317,piranha,n,Animals,Any of the carnivorous freshwater fish living in South American rivers and belonging to the subfamily Serrasalminae.,active,,
ani-pium,3937,pium,n,Animals,Hematophagous black fly found in tropical countries,active,,
ani-polar-bear,3143,polar bear,n,Animals,White bear living in the northern pole regions.,active,,
ani-porcupine,2510,porcupine,n,Animals,"Rodents with a coat of sharp spines, or quills, that protect against predators.",active,,
ani-porpoise,114,porpoise,n,Animals,"Short-snouted cetacean aquatic mammals of the Phocoenidae family within the superfamily Delphinoidea (along dolphins or belugas), characterized by a compact, robust body ranging from 1.2 to 2.5 metres (4 to 8 feet) in length, gregarious in habits, historically rendered for oil or used for leather.",active,,
ani-possum,470,possum,n,Animals,"Small to medium-sized arboreal marsupial species native to Australia, New Guinea, and Sulawesi.",active,,
ani-prawns,238,prawns,n,Animals,A decapod crustacean of the suborder Dendrobranchiata.,active,,
ani-pregnant,3827,pregnant,adj,Animals,Describing an animal that is pregnant.,active,,
ani-puma,1891,puma,n,Animals,Species of feline (Puma concolor) tawny-colored with black-tipped ears and tail.,active,,
ani-puppy,74,puppy,n,Animals,A young dog.,active,,
ani-python,1563,python,n,Animals,(Pythonidae)The common name for a group of non-venomous constricting snakes.,active,,
ani-quail,1893,quail,n,Animals,(Coturnix coturnix) Small (17 cm) rotund bird from the pheasant family (Phasianidae),active,,
ani-rabbit,1136,rabbit,n,Animals,"One of several small mammals of the family Leporidae, with long ears, long hind legs and a short, fluffy tail.",active,,
ani-raccoon,828,raccoon,n,Animals,(Procyon lotor) An omnivorous nocturnal mammal native to North America and Central America.,active,,
ani-ram,1344,ram,n,Animals,A male sheep.,active,,
ani-rat,1490,rat,n,Animals,"A nearly omnivorous rodent of the genus ''rattus'' characterised by a long hairless tail, rounded ears, and a pointed nose.",active,,
ani-rattlesnake,871,rattlesnake,n,Animals,"Poisonous snake of the genus Crotalus, known by the rattling tail.",active,,
ani-raven,2543,raven,n,Animals,"One of several larger-bodied members of the genus Corvus. These species do not form a single taxonomic group within the genus, but share similar characteristics and appearances that generally separate them from other crows.",active,,
ani-red-deer,3983,red deer,n,Animals,"The red deer (Cervus elaphus) is one of the largest deer species. A male red deer is called a stag or hart, and a female is called a hind. Red deer are ruminants, characterized by a four-chambered stomach. Genetic evidence indicates that the red deer, as traditionally defined, is a species group, rather than a single species, though exactly how many species the group includes remains disputed.",active,,
ani-red-footed-tortoise,3949,red-footed tortoise,n,Animals,"A medium-sized species of tortoise (Chelonoidis Carbonarius), found in northern parts of South America.",active,,
ani-reindeer,1876,reindeer,n,Animals,"An Arctic and Subarctic-dwelling deer (Rangifer tarandus), a number of subspecies exist.",active,,
ani-rhinoceros,2591,rhinoceros,n,Animals,A group of different species of odd-toed ungulates in the family Rhinocerotidae.,active,,
ani-robin,2402,robin,n,Animals,"The European robin (Erithacus rubecula), most commonly known in Anglophone Europe simply as the robin, is a small insectivorous passerine bird, specifically a chat, that was formerly classed as a member of the thrush family (Turdidae), but is now considered to be an Old World flycatcher.",active,,
ani-rodent,669,rodent,n,Animals,"Any of the relatively small placental mammals that constitute the order Rodentia, having constantly growing incisor teeth specialized for gnawing.",active,,
ani-roe-deer,3826,roe deer,n,Animals,Member of the species Capreolus capreolus widespread in Europe. Smaller than other deer and characterised by its red and grey-brown colour.,active,,
ani-rooster,1511,rooster,n,Animals,"A male chicken (Gallus gallus domesticus), a domestic bird.",active,,
ani-roundworm,3397,roundworm,n,Animals,A worm that belongs to Nematode species; parasitic types of roundworms infest the digestive tract of humans and other mammals.,active,,
ani-ruminate,3680,ruminate,v,Animals,(Of an animal) to chew the food brought back from the stomach and partially digested.,active,,
ani-sago-grub,2802,sago grub,n,Animals,"A type of snout beetle of species Rhynchophorus ferrugineus commonly known as red palm weevil, Asian palm weevil or sago palm weevil.",active,,
ani-salmon,944,salmon,n,Animals,One of several species of fish of the Salmonidae family.,active,,
ani-sandfly,95,sandfly,n,Animals,"A tiny flying insect from one of several species in the Nematocera suborder, including the families Mycetophilidae, Anisopodidae and Sciaridae.",active,,
ani-sardine,3992,sardine,n,Animals,A pilchard or other fish in the herring family.,active,,
ani-scale,266,scale,n,Animals,One of the small flat pieces of skin that cover the bodies of fish.,active,,
ani-scorpion,1538,scorpion,n,Animals,"An arthropod with eight legs, belonging to the order Scorpiones in the class Arachnida.",active,,
ani-seagull,950,seagull,n,Animals,A seabird of the genus Larus or of the family Laridae.,active,,
ani-seal,651,seal,n,Animals,"A mammal belonging to the Pinnipedia, an order of aquatic placental mammals having a streamlined body and limbs specialized as flippers: includes seals, sea lions, and the walrus.",active,,
ani-serow,3270,serow,n,Animals,"A short-horned, dark-coated goat antelope of southeast Asia mountain areas.",active,,
ani-shark,1110,shark,n,Animals,A scaleless fish with a cartilaginous skeleton that has 5 to 7 gill slits on each side of its head.,active,,
ani-shear,1532,shear,v,Animals,To remove the fleece from a sheep etc. by clipping.,active,,
ani-sheep,1331,sheep,n,Animals,"A common, four-legged animal (Ovis) that is commonly kept by humans for its wool.",active,,
ani-sheep-dung,3381,sheep dung,n,Animals,The faeces of a sheep.,active,,
ani-sheepfold,3402,sheepfold,n,Animals,A barn for sheep.,active,,
ani-shell,598,shell,n,Animals,"A hard outer covering of an animal, as the hard case of a mollusk.",active,,
ani-shrew,3676,shrew,n,Animals,"Any of small, mole-like mammals with a long pointed snout from the family Soricidae of the order Eulipotyphla.",active,,
ani-shrimp,2349,shrimp,n,Animals,"Refers to some decapod crustaceans, although the exact animals covered can vary. Used broadly, it may cover any of the groups with elongated bodies and a primarily swimming mode of locomotion – chiefly Caridea and Dendrobranchiata.",active,,
ani-silkworm,2351,silkworm,n,Animals,The larva or caterpillar of the domesticated silkmoth (Bombyx mori).,active,,
ani-skin,2614,skin,n,Animals,The outer tissue covering animals.,active,,
ani-sloth,2446,sloth,n,Animals,"Medium-sized mammals belonging to the families Megalonychidae (two-toed sloth) and Bradypodidae (three-toed sloth), classified into six species.",active,,
ani-snail,1543,snail,n,Animals,"(Gastropoda) Ventral footed mollusk, including land snails, terrestrial pulmonate gastropod mollusks.",active,,
ani-snake,730,snake,n,Animals,"Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.",active,,
ani-snout,2200,snout,n,Animals,"The protruding portion of an animal's face, consisting of its nose, mouth, and jaw.",active,,
ani-sow,1351,sow,n,Animals,An adult female pig.,active,,
ani-sparrow,1854,sparrow,n,Animals,"A small song bird, in the family Passeridae.",active,,
ani-spawn,2227,spawn,v,Animals,The process by which aquatic animals produce eggs.,active,,
ani-spider,843,spider,n,Animals,"Any predatory silk-producing arachnid of the order Araneae, having four pairs of legs and a rounded unsegmented body consisting of abdomen and cephalothorax.",active,,
ani-spider-monkey,434,spider monkey,n,Animals,"Tropical American monkey of the genus Ateles,  having a slender body, long, slender limbs, and a long, prehensile tail.",active,,
ani-spider-web,1065,spider web,n,Animals,A fine net of threads woven by a spider to catch insects.,active,,
ani-squid,4142,squid,n,Animals,"A marine cephalopod with a soft elongated body, eight arms, and two longer feeding tentacles, capable of jet propulsion and ink release.",active,,
ani-squirrel,1628,squirrel,n,Animals,A small or medium-sized rodent of the family Sciuridae.,active,,
ani-stable,851,stable,n,Animals,"A building or structure usually with stalls that is used to house and feed horses, cattle or other animals.",active,,
ani-stallion,936,stallion,n,Animals,An uncastrated male horse.,active,,
ani-starfish,3032,starfish,n,Animals,"Star-shaped echinoderm of class Asteroidea, occuring in all the world's oceans.",active,,
ani-stingray,1910,stingray,n,Animals,"Any of various large, venomous rays, of the orders Rajiformes and Myliobatiformes, having a barbed, whiplike tail.",active,,
ani-stork,3724,stork,n,Animals,"A bird with long legs, a long beak and often black and with feathers of the family Ciconiidae.",active,,
ani-sturgeon,3606,sturgeon,n,Animals,A common name denoting a fish of the Acipenseridae family.,active,,
ani-swallow,3077,swallow,n,Animals,Any of the various passerine birds of the family Hirundinidae; martin.,active,,
ani-swan,2837,swan,n,Animals,Bird of the family Anatidae.,active,,
ani-swarm,2974,swarm,n,Animals,"Swarm behaviour, or swarming, is a collective behaviour exhibited by entities, particularly animals, of similar size which aggregate together, perhaps milling about the same spot or perhaps moving en masse or migrating in some direction.",active,,
ani-tadpole,3979,tadpole,n,Animals,Larval stage of amphibians.,active,,
ani-takin,3272,takin,n,Animals,"A large goat antelope of eastern Himalayan area, Budorcas taxicolor.",active,,
ani-tame,2838,tame,adj,Animals,Not or no longer wild (of animals).,active,,
ani-tapir,312,tapir,n,Animals,Any one the species of large odd-toed ungulates of the family Tapiridae with a long prehensile upper lip.,active,,
ani-termite,883,termite,n,Animals,"A soft-bodied insect of the order Isoptera; individuals feed on cellulose and live in colonies with a caste system comprising three types of functional individuals: sterile workers and soldiers, and the reproductives.",active,,
ani-tick,1527,tick,n,Animals,A small arachnid which lives on and sucks the blood of other animals including man.,active,,
ani-tiger,846,tiger,n,Animals,A large carnivorous animal (Panthera tigris) of the cat family indigenous to Asia.,active,,
ani-tinamou,3921,tinamou,n,Animals,"Any of the 47 sedentary, ground-dwelling bird species of the order Tinamiformes found in Central and South America. It bears a strong resemblance to patridges but has limited flight capability.",active,,
ani-toad,894,toad,n,Animals,"Any anuran amphibian of the family Bufonidae, such as Bufo bufo of Europe. They are similar to frogs but are more terrestrial, having a drier warty skin.",active,,
ani-tortoise,895,tortoise,n,Animals,"Any herbivorous terrestrial chelonian reptile of the family Testudinidae, of most warm regions, having a heavy dome-shaped shell and clawed limbs.",active,,
ani-toucan,308,toucan,n,Animals,"A bird with a large colorful beak, living in the tropics and belonging to the family Ramphastidae.",active,,
ani-trout,795,trout,n,Animals,Fresh water salmon.,active,,
ani-turkey,2386,turkey,n,Animals,A large bird from the family of Phasanidae.,active,,
ani-turtle,112,turtle,n,Animals,"A reptile of the order Testudines (the crown group of the superorder Chelonia), characterised by a special bony or cartilaginous shell developed from their ribs that acts as a shield.",active,,
ani-tusk,3280,tusk,n,Animals,"A pointed elongated tooth, usually one of a pair, extending outside the mouth of a mammal.",active,,
ani-untamed-or-wild,2230,untamed or wild,adj,Animals,"Not cultivated, domesticated or controlled by humans.",active,,
ani-vermin,929,vermin,n,Animals,Small animals and insects that can be harmful and which are difficult to control when they appear in large numbers. (Source: CAMB),active,,
ani-viper,2654,viper,n,Animals,A family of venomous snakes found in most parts of the world.,active,,
ani-vulture,1185,vulture,n,Animals,Any of several carrion-eating birds of the families Accipitridae and Cathartidae.,active,,
ani-wagtail,3010,wagtail,n,Animals,Passerine bird of genus Motacilla.,active,,
ani-wallaby,165,wallaby,n,Animals,Any of several species of marsupial; usually smaller and stockier than kangaroos.,active,,
ani-walrus,4007,walrus,n,Animals,"A very large, seal-like mammal found in Arctic seas.",active,,
ani-wasp,1517,wasp,n,Animals,"A flying stinging insect related to the bee, which is usually coloured yellow and black.",active,,
ani-wasp-nest,3412,wasp nest,n,Animals,The nest of wasps.,active,,
ani-water-buffalo,2516,water buffalo,n,Animals,"A large bovid originating in South Asia, Southeast Asia, and China.",active,,
ani-water-leech,949,water leech,n,Animals,A worm-like creature that lives in water and sucks blood from animals.,active,,
ani-wax,3942,wax,n,Animals,Organic solid compounds of animals or vegetal origin,active,,
ani-weasel,3384,weasel,n,Animals,A small predator of the genus Mustela characterized by a slender body that lets it hunt burrowing animals.,active,,
ani-whale,957,whale,n,Animals,"Large marine mammals of the order Cetacea; the body is streamlined, the broad flat tail is used for propulsion, and the limbs are balancing structures.",active,,
ani-white-cockatoo,3009,white cockatoo,n,Animals,"Large white cockatoo, species C. galerita.",active,,
ani-white-lipped-peccary,436,white-lipped peccary,n,Animals,"Piglike hoofed mammal, of North and South America, having a black gray coat with whitish cheeks; larger than the collared peccary.",active,,
ani-wild-animal,958,wild animal,n,Animals,A non-domesticated animal living independently of man.,active,,
ani-wild-boar,3154,wild boar,n,Animals,"Also known as wild pig, an undomestic four-legged animal (Sus scrofa) living in the wild.",active,,
ani-wild-cat,2241,wild cat,n,Animals,"A small cat found throughout most of Africa, Europe, and southwest and central Asia into India, China, and Mongolia.",active,,
ani-wild-dog,2448,wild dog,n,Animals,Any of several wild canine species that are commonly called 'dogs' or 'wild dogs' but are not true dogs.,active,,
ani-wild-goose,2776,wild goose,n,Animals,A wild goose.,active,,
ani-wolf,522,wolf,n,Animals,"A large wild canid (Canidae), closely related to the dog.",active,,
ani-wolf-like-animal,2461,wolf-like animal,n,Animals,"Refers to *genus canis*, a genus containing seven to ten extant species, including wolves, domestic dogs, coyotes, and jackals.",active,,
ani-wombat,2841,wombat,n,Animals,Short-legged muscular quadrupedal marsupials native to Australia.,active,,
ani-woodpecker,2447,woodpecker,n,Animals,"Part of the Picidae family, a group of near-passerine birds that also consist of piculets, wrynecks, and sapsuckers.",active,,
ani-worm,1219,worm,n,Animals,A generally tubular invertebrate of the annelid phylum.,active,,
ani-yak,2477,yak,n,Animals,"A long-haired bovid found throughout the Himalaya region of southern Central Asia, the Tibetan Plateau and as far north as Mongolia and Russia.",active,,
ani-yearling,3329,yearling,n,Animals,A young horse between one and two years old.,active,,
ani-yellow-croaker,2347,yellow croaker,n,Animals,"A species of croaker native to the western Pacific, generally in temperate waters such as the East China Sea and the Yellow Sea.",active,,
ani-young-animal,3254,young animal,n,Animals,"Like a puppy of a dog, a general term for naming younger animals.",active,,
ani-young-goat,1972,young goat,n,Animals,A young goat.,active,,
ani-zebra,3675,zebra,n,Animals,"Any of several species of genus Equus with distinctive black-and-white striped coats, native to Africa.",active,,
bod-abortion,3866,abortion,n,The body,An intervention in a pregnancy by removal or expulsion of an embryo or fetus resulting in termination of the pregnancy.,active,,
bod-ache,1815,ache,v,The body,To be in continuous pain.,active,,
bod-adam-s-apple,802,adam's apple,n,The body,A lump at the front of the neck.,active,,
bod-allergy,3868,allergy,n,The body,"A bodily reaction due to a hypersensitivity to an antigen or a pathological immunological reaction to substances, situations, or physical states.",active,,
bod-ankle,803,ankle,n,The body,A joint formed where the foot and the leg meet.,active,,
bod-anus,1935,anus,n,The body,"The lower opening of the digestive tract, through which faeces pass.",active,,
bod-appearance,1017,appearance,n,The body,The outward or visible aspect of a person or thing.,active,,
bod-apply,3650,apply,v,The body,To put and spread some substance on the skin.,active,,
bod-arm,1673,arm,n,The body,"The upper limb, extending from the shoulder to the wrist and sometimes including the hand.",active,,
bod-arm-or-hand,2121,arm or hand,n,The body,Extremities emerging from the upper part of the human body.,active,,
bod-armpit,1886,armpit,n,The body,The hollow under the upper part of the arm at the shoulder.,active,,
bod-artery,1925,artery,n,The body,A blood vessel transporting blood away from the heart.,active,,
bod-awake,825,awake,adj,The body,Not sleeping.,active,,
bod-back,1291,back,n,The body,"The rear of body, especially the part between the neck and the end of the spine and opposite the chest and belly.",active,,
bod-back-of-head,523,back of head,n,The body,The back part of the head.,active,,
bod-bald,1125,bald,adj,The body,Without hair on the head.,active,,
bod-bark-or-skin,2127,bark or skin,n,The body,Cover of the bodies of animals and plants.,active,,
bod-bathe,138,bathe,v,The body,To clean oneself by immersion in water.,active,,
bod-bathe-someone,3170,bathe,v,The body,Clean someone else with water.,active,,
bod-be-alive,1422,be alive,v,The body,To be alive; to have a life.,active,,
bod-be-alive-or-life,3184,be alive or life,x,The body,The act of being alive or the life itself.,active,,
bod-be-born,1090,be born,v,The body,To start living.,active,,
bod-be-dead-or-death-or-die,3186,be dead or death or die,x,The body,To be not alive or the end of a life or to cease to live.,active,,
bod-beak,73,beak,n,The body,External anatomical structure of birds which is used for taking food and for eating.,active,,
bod-beard,678,beard,n,The body,"Facial hair of humans on the chin, cheeks and jaw.",active,,
bod-beget,1152,beget,v,The body,(Especially of a male parent) to procreate or generate.,active,,
bod-belly,1251,belly,n,The body,"The lower part of the front of the torso (or a comparable part of an animal), confined by the upper side by the midriff and the lowerside by the pelvis. Contains the intestines.",active,,
bod-belly-or-stomach,2114,belly or stomach,n,The body,"The lower part of the front of the torso, including the interior part below.",active,,
bod-bellybutton,3715,bellybutton,n,The body,The middle of the belly where the umbilical cord has grown in the womb during pregnancy.,merged,1838,
bod-bile,1780,bile,n,The body,"A bitter brownish-yellow or greenish-yellow secretion produced by the liver, stored in the gallbladder, and discharged into the duodenum where it aids the process of digestion.",active,,
bod-birthmark,1751,birthmark,n,The body,"A birthmark is a benign irregularity on the skin which is present at birth or appears shortly after birth, usually in the first month. Birthmarks are caused by overgrowth of blood vessels, melanocytes, smooth muscle, fat, fibroblasts, or keratinocytes.",active,,
bod-bite,1403,bite,v,The body,Clamping the teeth hard on something.,active,,
bod-bladder,1746,bladder,n,The body,A hollow muscular balloon-shaped organ that stores urine until it is excreted from the body.,active,,
bod-bleed,3615,bleed,v,The body,To lose blood because of a disease or an injury.,active,,
bod-blind,1653,blind,adj,The body,Unable to see.,active,,
bod-blink,1655,blink,v,The body,"To make a quick wink of one or both eyelids, often repeatedly.",active,,
bod-blister,1584,blister,n,The body,"A small bubble on the skin, that contains watery fluid and is caused by heat, pressure or infection.",active,,
bod-blond,3872,blond,adj,The body,A pale yellowish-brown color usually of hair.,active,,
bod-blood,946,blood,n,The body,A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.,active,,
bod-blood-vessel,525,blood vessel,n,The body,The blood vessels are the part of the circulatory system that transports blood throughout the human body or an animal body.,active,,
bod-body,1480,body,n,The body,The physical structure of a human or animal.,active,,
bod-body-part,2213,body part,n,The body,Part of a human body or an animal body.,active,,
bod-boil,793,boil,n,The body,"A painful, local inflammation of the skin, caused by infection of a hair follicle. Usually, a hard core and pus are present.",active,,
bod-bone,1394,bone,n,The body,"Any of the components of an endoskeleton, consisting mainly of calcium phosphate, collagen and cells.",active,,
bod-brain,1583,brain,n,The body,The organ of the central nervous system of an animal or human located in the skull that controls the actions and thoughts of the animal or human.,active,,
bod-breast,1402,breast,n,The body,The fleshy organ on the chest of a sexually mature human female containing mammary glands.,active,,
bod-breast-milk,3912,breast milk,n,The body,The milk of humans.,active,,
bod-breast-or-milk,2129,breast or milk,n,The body,"Either the organ of females which gives nourishing substance for newborns, or the substance itself.",active,,
bod-breastbone,2810,breastbone,n,The body,Long flat bone located in the center of the chest.,active,,
bod-breath,870,breath,n,The body,The air inhaled and exhaled through the lungs.,active,,
bod-breath-or-breathe,3183,breath or breathe,x,The body,The air that goes into one's lungs or the act of breathing.,active,,
bod-breathe,1407,breathe,v,The body,"To repeatedly draw air into, and expel it from, the lungs, in order to extract oxygen from it and excrete waste products.",active,,
bod-bruise,1148,bruise,n,The body,A collection of blood in the body tissue outside the blood vessels,active,,
bod-burn,3622,burn,n,The body,"An injury caused by exposure to heat, fire or chemical agents.",active,,
bod-buttocks,834,buttocks,n,The body,The fleshy part of the human body that one sits on.,active,,
bod-calf-of-leg,498,calf of leg,n,The body,The fleshy backside of the lower part of the leg.,active,,
bod-carcass,1770,carcass,n,The body,"The body of a dead animal, on which other animals have begun to feed.",active,,
bod-castrate,2563,castrate,v,The body,"Any action, surgical, chemical, or otherwise, by which a biological male loses use of the testicles.",merged,29,
bod-catch-a-cold,2184,catch a cold,v,The body,To become sick with a cold.,active,,
bod-cheek,1730,cheek,n,The body,"The soft skin on each side of the face, between the eyes and the chin; the outer surface of the sides of the oral cavity.",active,,
bod-chest,1592,chest,n,The body,The portion of the body from the base of the neck to the top of the abdomen; the thorax.,active,,
bod-chin,1510,chin,n,The body,"The bottom of the face, below the mouth.",active,,
bod-claw-or-nail,2128,claw or nail,n,The body,"The hard, keratin part growing at the feet of animals or the hands and legs of humans.",active,,
bod-clitoris,3257,clitoris,n,The body,"A part of the female genitalia located at the front of the vulva, consisting of a sensitive erectile body.",active,,
bod-close,3547,close,v,The body,To close one's mouth.,active,,
bod-coffin,2011,coffin,n,The body,The box in which the body of a dead person is placed for burial.,active,,
bod-collarbone,1994,collarbone,n,The body,Bone linking the scapula and sternum.,active,,
bod-common-cold,102,common cold,n,The body,"A contagious, viral infectious disease of the upper respiratory system; common symptoms include cough, sore throat, runny nose, nasal congestion and sneezing.",active,,
bod-conceive,1087,conceive,v,The body,To become pregnant.,active,,
bod-congeal,2395,congeal,v,The body,The process by which frech blood gets dry and hard.,active,,
bod-conjunctivitis,3026,conjunctivitis,n,The body,An inflammation of the eye conjunctiva.,active,,
bod-copulate,549,copulate,v,The body,To engage in sexual intercourse.,active,,
bod-corpse,767,corpse,n,The body,A dead body.,active,,
bod-cough,879,cough,v,The body,"To force air from the lungs out the mouth, sometimes involuntarily, accompanied by a rough sound.",active,,
bod-crown,1943,crown,n,The body,"A royal, imperial or princely headdress; a diadem.",active,,
bod-cure,499,cure,v,The body,To remedy an illness using medical or medicamentous treatment; to provide a cure for.,active,,
bod-dandruff,576,dandruff,n,The body,Small portion of dead skin cells shedding from the scalp.,active,,
bod-dead,1625,dead,adj,The body,Not alive; lacking life.,active,,
bod-deaf,996,deaf,adj,The body,"Not having the faculty of hearing, or only having a restricted capability to hear.",active,,
bod-death,910,death,n,The body,The end of life.,active,,
bod-dentist,3876,dentist,n,The body,"A person who is medically trained and licensed to practice the prevention, diagnosis, and treatment of diseases, injuries, and malformations of the teeth, jaws, and mouth.",active,,
bod-diarrhea,1177,diarrhea,n,The body,A condition in which the sufferer has frequent and watery bowel movements.,active,,
bod-die,1494,die,v,The body,To cease to live.,active,,
bod-disabled-person,3621,disabled person,n,The body,"A person with a physical condition or mental disorder that is characterized by physical, sensory, cognitive or intellectual impairment.",active,,
bod-disease,1986,disease,n,The body,A definite pathological process having a characteristic set of signs and symptoms which are detrimental to the well-being of the individual.,active,,
bod-dislocate,551,dislocate,v,The body,To (accidentally) dislodge a skeletal bone from its joint.,active,,
bod-dream,2374,dream,n,The body,"Successions of images, ideas, emotions, and sensations that occur usually involuntarily in the mind during certain stages of sleep.",active,,
bod-dream-something,1920,dream,v,The body,To experience while sleeping.,active,,
bod-dreaming-or-dream,2455,dreaming or dream,x,The body,"Either the act of seeing images when sleeping, or the result of this act, the dream itself.",active,,
bod-dribble,268,dribble,v,The body,To let saliva flow out of one’s mouth onto one’s chin.,active,,
bod-drown,1904,drown,v,The body,To be suffocated in water or other fluid; to perish by suffocation in water.,active,,
bod-drowned,3187,drowned,adj,The body,To have perished by suffocation in water.,active,,
bod-drunk,1463,drunk,adj,The body,Being in a temporary state in which one's physical and mental faculties are impaired due to excessive consumption of alcohol.,active,,
bod-dumb,1492,dumb,adj,The body,Unable to speak; lacking power of speech.,active,,
bod-ear,1247,ear,n,The body,"The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.",active,,
bod-earhole,3891,earhole,n,The body,The outer opening of the ear.,active,,
bod-earlobe,18,earlobe,n,The body,The lower fleshy part of the human ear.,active,,
bod-earwax,32,earwax,n,The body,"A yellowish, waxlike secretion from certain glands in the external auditory canal.",active,,
bod-elbow,981,elbow,n,The body,The joint between arm and forearm.,active,,
bod-excreta,47,excreta,n,The body,"Waste matter, such as sweat, urine, or faeces, discharged from the body.",active,,
bod-eye,1248,eye,n,The body,"The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals and humans see.",active,,
bod-eyeball,3807,eyeball,n,The body,"The partly visible orb nesting in the eye socket which contains for example pupil, retina and iris and is connected to the brain via the optic nerve.",active,,
bod-eyebrow,1173,eyebrow,n,The body,The hair that grows over the bone ridge above the eye socket.,active,,
bod-eyelash,1540,eyelash,n,The body,"One of the hairs that grows on the eyelid, around the eyes.",active,,
bod-eyelid,17,eyelid,n,The body,A skin flap that can be closed over an eye.,active,,
bod-face,1560,face,n,The body,"The front part of the head, featuring the eyes, nose, and mouth and the surrounding area.",active,,
bod-faeces,675,faeces,n,The body,"Substance that human and animal bodies release from time to time as a little pile of waste remaining from digestion, after it has been collected in the colon.",active,,
bod-faint,3616,faint,v,The body,To become unconscious as a result of a temporary decrease in the blood supply to the brain.,active,,
bod-fall-asleep,1106,fall asleep,v,The body,To go to sleep; to change from waking state to sleeping state.,active,,
bod-fart,1159,fart,v,The body,To emit digestive gases through the anus.,active,,
bod-fat,323,fat,n,The body,Esters of three fatty acid chains and the alcohol glycerol which form a semi-solid substance in room temperature and occur in animals and plants.,active,,
bod-fatigue,1140,fatigue,n,The body,A state of physical and/or mental weakness and a lack of vigor.,active,,
bod-feather,1201,feather,n,The body,"A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.",active,,
bod-feather-or-fur-or-hair,2381,feather or fur or hair,n,The body,The cover of a mammal or a bird.,active,,
bod-fever,1534,fever,n,The body,A higher than normal temperature of a person (or generally a mammal).,active,,
bod-finger,1303,finger,n,The body,One of the long extremities of the hand that is used for gripping objects.,active,,
bod-fingernail,1258,fingernail,n,The body,"The hard, flat, translucent covering near the tip of a human finger, useful for scratching and fine manipulation.",active,,
bod-fingernail-or-toenail,1896,fingernail or toenail,n,The body,Hard keratin part growing at the end of a human's finger or toe.,active,,
bod-fingertip,2773,fingertip,n,The body,The top of the finger.,active,,
bod-fishbone,3799,fishbone,n,The body,"Any of the bones forming the skeleton of a fish, especially one of the sharp slender bones attached to the backbone.",active,,
bod-fist,1473,fist,n,The body,The closed hand with the fingers on the palm.,active,,
bod-flesh,2259,flesh,n,The body,The soft substance in the body of living things.,active,,
bod-flesh-or-meat,2615,flesh or meat,n,The body,"Either referring to the soft substance of the body of living things (flesh), or to the soft substance in animals as an important source of food for humans.",active,,
bod-foot,1301,foot,n,The body,The part of a human’s body below the ankle that is used in order to stand and walk.,active,,
bod-foot-or-leg,2098,foot or leg,n,The body,Lower part of the human body which is used for walking.,active,,
bod-footprint,318,footprint,n,The body,The impression of the foot in a soft substance such as sand or snow.,active,,
bod-forefinger,577,forefinger,n,The body,The finger between thumb and long finger.,active,,
bod-forehead,123,forehead,n,The body,The part of the face between the hairline and the eyebrows.,active,,
bod-fornicate,103,fornicate,v,The body,"To have sexual intercourse outside of marriage, especially with varying partners.",active,,
bod-freckle,530,freckle,n,The body,A small brownish or reddish pigmentation spot on the surface of the skin.,active,,
